original	replacement
simple_batch	vlt.batch.simple_batch
angle2ybgr	vlt.colorspace.angle2ybgr
angle2ycgr	vlt.colorspace.angle2ycgr
cmyk2rgb	vlt.colorspace.cmyk2rgb
rgb2cmyk	vlt.colorspace.rgb2cmyk
add_config_file	vlt.config.add_config_file
config_dirname	vlt.config.config_dirname
MCCUSB1208FS_AcquireSimpleDaq	vlt.daq.MCCUSB1208FS.MCCUSB1208FS_AcquireSimpleDaq
MCCUSB1208FS_CloseSimpleDaq	vlt.daq.MCCUSB1208FS.MCCUSB1208FS_CloseSimpleDaq
MCCUSB1208FS_OpenSimpleDaq	vlt.daq.MCCUSB1208FS.MCCUSB1208FS_OpenSimpleDaq
dummyekgeegdaq_AcquireSimpleDaq	vlt.daq.dummyekgeegdaq.dummyekgeegdaq_AcquireSimpleDaq
dummyekgeegdaq_CloseSimpleDaq	vlt.daq.dummyekgeegdaq.dummyekgeegdaq_CloseSimpleDaq
dummyekgeegdaq_OpenSimpleDaq	vlt.daq.dummyekgeegdaq.dummyekgeegdaq_OpenSimpleDaq
AcquireSimpleDaq	vlt.daq.simpledaq.AcquireSimpleDaq
CloseSimpleDaq	vlt.daq.simpledaq.CloseSimpleDaq
NewSimpleDaq	vlt.daq.simpledaq.NewSimpleDaq
OpenSimpleDaq	vlt.daq.simpledaq.OpenSimpleDaq
assign	vlt.datastructures.assign
catCellStr	vlt.datastructures.catCellStr
catstructfields	vlt.datastructures.catstructfields
cell2group	vlt.datastructures.cell2group
cell2mlstr	vlt.datastructures.cell2mlstr
cell2str	vlt.datastructures.cell2str
celloritem	vlt.datastructures.celloritem
celltable2struct	vlt.datastructures.celltable2struct
colvec	vlt.datastructures.colvec
conditional	vlt.datastructures.conditional
conditiongroup2cell	vlt.datastructures.conditiongroup2cell
deleteallchildren	vlt.datastructures.deleteallchildren
dropnan	vlt.datastructures.dropnan
emptystruct	vlt.datastructures.emptystruct
eqemp	vlt.datastructures.eqemp
eqlen	vlt.datastructures.eqlen
eqtot	vlt.datastructures.eqtot
equnique	vlt.datastructures.equnique
fieldsearch	vlt.datastructures.fieldsearch
findclosest	vlt.datastructures.findclosest
findclosestpoint	vlt.datastructures.findclosestpoint
findrowvec	vlt.datastructures.findrowvec
hasAllFields	vlt.datastructures.hasAllFields
hashmatlabvariable	vlt.datastructures.hashmatlabvariable
isboolean	vlt.datastructures.isboolean
isempty_cell	vlt.datastructures.isempty_cell
isfullfield	vlt.datastructures.isfullfield
isint	vlt.datastructures.isint
islikevarname	vlt.datastructures.islikevarname
ispos	vlt.datastructures.ispos
isunix_sv	vlt.datastructures.isunix_sv
jsonencodenan	vlt.datastructures.jsonencodenan
listofvars	vlt.datastructures.listofvars
matrow2cell	vlt.datastructures.matrow2cell
mlstr2var	vlt.datastructures.mlstr2var
namevaluepair	vlt.datastructures.namevaluepair
nanstderr	vlt.datastructures.nanstderr
numornan	vlt.datastructures.numornan
onoff	vlt.datastructures.onoff
prettyjson	vlt.datastructures.prettyjson
rowvec	vlt.datastructures.rowvec
savevar	vlt.datastructures.savevar
simpletable	vlt.datastructures.simpletable
sizeeq	vlt.datastructures.sizeeq
sortorder	vlt.datastructures.sortorder
sortstruct	vlt.datastructures.sortstruct
str2nume	vlt.datastructures.str2nume
streq	vlt.datastructures.streq
string2cell	vlt.datastructures.string2cell
struct2mlstr	vlt.datastructures.struct2mlstr
struct2namevaluepair	vlt.datastructures.struct2namevaluepair
struct2str	vlt.datastructures.struct2str
struct2tabstr	vlt.datastructures.struct2tabstr
struct2var	vlt.datastructures.struct2var
structdiff	vlt.datastructures.structdiff
structfindfield	vlt.datastructures.structfindfield
structmerge	vlt.datastructures.structmerge
structwhatvaries	vlt.datastructures.structwhatvaries
